offer_code,name,billing_type,total_usd,due_at_checkout_usd,currency,interval,payment_schedule,tax_behavior,active
O1,Workflow Opportunity Diagnostic,one_time,2500,2500,usd,,100% prepaid before kickoff,configure_after_CPA_review,True
O2,Workflow Build Sprint,one_time,7500,3750,usd,,50% deposit before kickoff; 50% invoiced before production launch,configure_after_CPA_review,True
O3,AI Operations Transformation,one_time,18000,7200,usd,,40% deposit before kickoff; 30% invoiced after blueprint approval; 30% invoiced before launch,configure_after_CPA_review,True
O4,Enterprise AI Operations Program,one_time,45000,13500,usd,,30% deposit at kickoff; 25% invoiced after blueprint approval; 25% invoiced after implementation acceptance; 20% invoiced before final handoff,configure_after_CPA_review,True
O5,Workflow Assurance & Enablement,recurring,,2500,usd,month,Monthly in advance; 3-month initial contractual term ($7500 minimum),configure_after_CPA_review,True
